query,feature,endpoint,method,sheet,subFeature,markedCorrect,score
"How do I check monitor dependencies?","Inventory","/app/api/short/monitors_resource_supported","GET","Server Monitor","Monitor Resource Support",true,45
"How do I check monitor dependencies?","Inventory","/app/api/monitors/details_page/base/{id}","GET","Automations","Monitor Details",false,44
"How do I check monitor dependencies?","Inventory","/app/api/monitor_groups","GET","Server Monitor","Monitor Groups",false,44
"How do I check monitor dependencies?","Inventory","/app/api/short/monitors_support/6001","GET","Automations","Monitor Support",false,43
"How do I check monitor dependencies?","Inventory","/app/api/short/monitor_groups","GET","Server Monitor","Monitor Groups",false,37
"How do I check monitor dependencies?","Inventory","/app/api/monitors/status/count","GET","Server Monitor","Monitor Status",false,37
"List all credential profiles stored in the account","Inventory","/app/api/credential_profiles","GET","Third-Party Integrations","Credential Profiles",true,65
"List all credential profiles stored in the account","Inventory","https://www.site24x7.com/app/api/credential_profiles","GET","Configuration Profiles","Credential Profile",false,63
"List all credential profiles stored in the account","Inventory","/app/api/short/credential_list","GET","Inventory","Credential Box",false,59
"List all credential profiles stored in the account","Inventory","/app/api/short/location_profiles","GET","Inventory","Location Profiles",false,46
"List all credential profiles stored in the account","Inventory","https://www.site24x7.com/app/api/credential_profile","POST","Configuration Profiles","Credential Profile",false,43
"Which API shows network discovery results?","Inventory","/app/api/network/discovery_rules","GET","Inventory","Network Discovery",true,71
"Which API shows network discovery results?","Inventory","/app/api/network/pollers","GET","Inventory","Network Pollers",false,64
"How do I get the list of network pollers?","Inventory","/app/api/network/pollers","GET","Inventory","Network Pollers",true,81
"What field holds the AWS account ID for an integration?","Inventory","/app/api/aws/account_id/{aws_account_ref}","GET","Inventory","AWS Integration",true,101
"What field holds the AWS account ID for an integration?","Inventory","/app/api/integration/event_bridge","POST","Third-Party Integrations","Amazon EventBridge Integration",false,89
"What field holds the AWS account ID for an integration?","Inventory","/app/api/aws/add/event_bridge/{user_id}","GET","Third-Party Integrations","Amazon EventBridge Integration",false,80
"What field holds the AWS account ID for an integration?","Inventory","/app/api/aws/external_id","GET","Inventory","AWS Integration",false,75
"Show me all device templates available","Inventory","/app/api/short/device/templates","GET","Inventory","Device Templates",true,65
"How do I retrieve threshold profiles?","Inventory","/app/api/threshold_profiles","GET","Inventory","Threshold Profiles",true,65
"How do I retrieve threshold profiles?","Inventory","https://www.site24x7.com/app/api/threshold_profiles","POST","Configuration Profiles","Threshold and Availability",false,61
"How do I retrieve threshold profiles?","Inventory","/app/api/short/threshold_profiles","GET","Inventory","Threshold Profiles",false,58
"How do I retrieve threshold profiles?","Inventory","/app/api/short/threshold_profiles/{monitor_type}","GET","Inventory","Threshold Profiles",false,58
"How do I retrieve threshold profiles?","Inventory","/app/api/short/threshold_profiles/SERVER","GET","Server Monitor","Threshold Profiles",false,58
"How do I retrieve threshold profiles?","Inventory","https://www.site24x7.com/app/api/plugin/list_threshold_profiles/PLUGIN","GET","Configuration Profiles","Threshold and Availability",false,56
"List APIs related to network polling schedules","Inventory","/app/api/short/network_schedules/{schedule_type}","GET","Inventory","Network Schedules",true,76
"List APIs related to network polling schedules","Inventory","/app/api/network/pollers","GET","Inventory","Network Pollers",false,51
"What endpoint returns dynamic filter definitions?","Inventory","/app/api/dynamic_monitors/grouping_filters/{monitor_type}/{filter_id}","POST","Inventory","Dynamic Filters",true,58
"What endpoint returns dynamic filter definitions?","Inventory","/app/api/filters","GET","Inventory","Dynamic Filters",false,57
"What endpoint returns dynamic filter definitions?","Inventory","/app/api/filters","POST","Inventory","Dynamic Filters",false,46
"How do I check the status of a poller?","Inventory","/app/api/network/pollers","GET","Inventory","Network Pollers",true,52
"How do I check the status of a poller?","Inventory","/sp/api/statuspages/15698000418173443/license/check_module_access","GET","Operations","Status Pages (StatusIQ)",false,48
"How do I check the status of a poller?","Inventory","/sp/api/statuspages/15698000418173443/summary_details","GET","Operations","Status Pages (StatusIQ)",false,44
"How do I check the status of a poller?","Inventory","/app/api/monitors/pollergroups","GET","Inventory","Poller Groups",false,40
"How do I check the status of a poller?","Inventory","/app/api/monitors/status/count","GET","User & Alert Management","Monitor Status",false,36
"How do I check the status of a poller?","Inventory","/app/api/short/current_status","GET","User & Alert Management","Monitor Status",false,36
"Which API lists all server templates in Inventory?","Inventory","/app/api/short/server_templates","GET","Inventory","Server Templates",true,87
"Which API lists all server templates in Inventory?","Inventory","/app/api/server_templates","GET","Server Monitor","Server Templates",false,86
"Which API lists all server templates in Inventory?","Inventory","/app/api/short/device/templates","GET","Inventory","Device Templates",false,58
"List all users in the account","User & Alert Management","/app/api/short/users_list","GET","User & Alert Management","User Management",true,53
"List all users in the account","User & Alert Management","/app/api/account_settings","GET","Inventory","Account Settings",false,38
"List all users in the account","User & Alert Management","/app/api/account_settings","GET","My Account","Account Settings",false,37
"List all users in the account","User & Alert Management","/app/api/account_settings","PUT","My Account","Account Settings",false,37
"How do I create a new user role?","User & Alert Management","/app/api/short/custom_roles","GET","User & Alert Management","Role Management",true,52
"How do I create a new user role?","User & Alert Management","/app/api/short/users_list","GET","User & Alert Management","User Management",false,44
"How do I create a new user role?","User & Alert Management","/app/api/short/user_groups","GET","User & Alert Management","User Groups",false,37
"How do I create a new user role?","User & Alert Management","/app/api/users/{id}","DELETE","User & Alert Management","User Management",false,37
"How do I create a new user role?","User & Alert Management","/app/api/client_data/user","GET","User & Alert Management","Client / Session Data",false,34
"Show me all user groups","User & Alert Management","/app/api/short/user_groups","GET","User & Alert Management","User Groups",true,66
"Show me all user groups","User & Alert Management","/app/api/short/users_list","GET","User & Alert Management","User Management",false,44
"What API manages on-call schedules?","User & Alert Management","/app/api/on_call_schedules","GET","Inventory","On-Call Schedules",true,59
"What API manages on-call schedules?","User & Alert Management","/app/api/short/on_call_schedules","GET","Inventory","On-Call Schedules",false,59
"What API manages on-call schedules?","User & Alert Management","/app/api/on_call_schedules/{id}","PUT","User & Alert Management","On-Call Schedules",false,59
"What API manages on-call schedules?","User & Alert Management","/app/api/short/network_schedules/{schedule_type}","GET","Inventory","Network Schedules",false,42
"How do I update an alert category?","User & Alert Management","/app/api/alarms_category/{id}","PUT","User & Alert Management","Alert Categories",true,56
"How do I update an alert category?","User & Alert Management","/app/api/alarms_category","GET","User & Alert Management","Alert Categories",false,45
"How do I update an alert category?","User & Alert Management","/app/api/applog/alerts","GET","Operations","Alert Logs",false,44
"List all attribute groups for monitors","User & Alert Management","/app/api/attribute_groups","GET","User & Alert Management","Attribute Groups",true,73
"List all attribute groups for monitors","User & Alert Management","/app/api/attribute_groups/{id}","PUT","User & Alert Management","Attribute Groups",false,63
"List all attribute groups for monitors","User & Alert Management","/app/api/monitors/pollergroups","GET","Inventory","Poller Groups",false,58
"List all attribute groups for monitors","User & Alert Management","/app/api/short/attribute_groups","GET","User & Alert Management","Attribute Groups",false,58
"List all attribute groups for monitors","User & Alert Management","/app/api/short/attribute_groups","GET","Third-Party Integrations","Attribute Groups",false,58
"Which endpoint fetches attribute definitions and values?","User & Alert Management","/app/api/attribute_details","GET","User & Alert Management","Attribute Details",true,57
"How do I view the change tracker log?","User & Alert Management","/app/api/applog/logtype_views","GET","Operations","Alert Logs",true,62
"How do I view the change tracker log?","User & Alert Management","/app/api/tracker","PUT","Third-Party Integrations","Change Tracker",false,47
"What field holds a user's role permissions?","User & Alert Management","/app/api/short/custom_roles","GET","User & Alert Management","Role Management",true,44
"What field holds a user's role permissions?","User & Alert Management","/app/api/short/users_list","GET","User & Alert Management","User Management",false,44
"What field holds a user's role permissions?","User & Alert Management","/app/api/short/user_groups","GET","User & Alert Management","User Groups",false,37
"What field holds a user's role permissions?","User & Alert Management","/app/api/users/{id}","DELETE","User & Alert Management","User Management",false,37
"What field holds a user's role permissions?","User & Alert Management","/app/api/client_data/user","GET","User & Alert Management","Client / Session Data",false,34
"What field holds a user's role permissions?","User & Alert Management","/app/api/client_data/user","GET","Milestones","User Context",false,29
"List APIs related to user group management","User & Alert Management","/app/api/short/user_groups","GET","User & Alert Management","User Groups",true,82
"List APIs related to user group management","User & Alert Management","/app/api/short/users_list","GET","User & Alert Management","User Management",false,82
"List APIs related to user group management","User & Alert Management","/app/api/attribute_groups","GET","User & Alert Management","Attribute Groups",false,62
"List APIs related to user group management","User & Alert Management","/app/api/attribute_groups/{id}","PUT","User & Alert Management","Attribute Groups",false,58
"List APIs related to user group management","User & Alert Management","/app/api/users/{id}","DELETE","User & Alert Management","User Management",false,56
"How do I check which alert categories exist?","User & Alert Management","/app/api/applog/alerts","GET","Operations","Alert Logs",true,44
"How do I check which alert categories exist?","User & Alert Management","/app/api/alarms_category/{id}","PUT","User & Alert Management","Alert Categories",false,43
"How do I check which alert categories exist?","User & Alert Management","/app/api/alarms_category","GET","User & Alert Management","Alert Categories",false,42
"What endpoint updates an existing attribute group?","User & Alert Management","/app/api/attribute_groups/{id}","PUT","User & Alert Management","Attribute Groups",true,82
"What endpoint updates an existing attribute group?","User & Alert Management","/app/api/attribute_groups","GET","User & Alert Management","Attribute Groups",false,72
"What endpoint updates an existing attribute group?","User & Alert Management","/app/api/short/attribute_groups","GET","User & Alert Management","Attribute Groups",false,65
"What endpoint updates an existing attribute group?","User & Alert Management","/app/api/short/attribute_groups","GET","Third-Party Integrations","Attribute Groups",false,58
"Show me all on-call schedules configured","User & Alert Management","/app/api/on_call_schedules","GET","Inventory","On-Call Schedules",true,53
"Show me all on-call schedules configured","User & Alert Management","/app/api/short/on_call_schedules","GET","Inventory","On-Call Schedules",false,53
"Show me all on-call schedules configured","User & Alert Management","/app/api/on_call_schedules/{id}","PUT","User & Alert Management","On-Call Schedules",false,53
"Which API is used for role-based access control?","User & Alert Management","/sp/api/statuspages/15698000418173443/license/check_module_access","GET","Operations","Status Pages (StatusIQ)",true,38
"Which API is used for role-based access control?","User & Alert Management","/app/api/integration/slack/15698000442055001","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,36
"Which API is used for role-based access control?","User & Alert Management","/app/api/integration/thirdparty_status/28","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,36
"Which API is used for role-based access control?","User & Alert Management","/app/api/integration/thirdparty_status/35","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,36
"Which API is used for role-based access control?","User & Alert Management","/app/api/integration/thirdparty_status/36","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,36
"Which API is used for role-based access control?","User & Alert Management","/app/api/location_template","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,36
"How do I retrieve a lightweight list of attribute groups?","User & Alert Management","/app/api/attribute_groups","GET","User & Alert Management","Attribute Groups",true,80
"How do I retrieve a lightweight list of attribute groups?","User & Alert Management","/app/api/short/attribute_groups","GET","User & Alert Management","Attribute Groups",false,65
"How do I retrieve a lightweight list of attribute groups?","User & Alert Management","/app/api/attribute_groups/{id}","PUT","User & Alert Management","Attribute Groups",false,63
"How do I retrieve a lightweight list of attribute groups?","User & Alert Management","/app/api/short/attribute_groups","GET","Third-Party Integrations","Attribute Groups",false,58
"Which API creates a new Location Profile?","Configuration Profiles","https://www.site24x7.com/app/api/location_profiles","POST","Configuration Profiles","Location Profile",true,96
"Which API creates a new Location Profile?","Configuration Profiles","/app/api/location_profiles","GET","Inventory","Location Profiles",false,93
"Which API creates a new Location Profile?","Configuration Profiles","/app/api/location_profiles/{location_profile_id}","GET","Inventory","Location Profiles",false,79
"Which API creates a new Location Profile?","Configuration Profiles","https://www.site24x7.com/app/api/location_profiles/{id}","DELETE","Configuration Profiles","Location Profile",false,79
"Which API creates a new Location Profile?","Configuration Profiles","/app/api/short/location_profiles","GET","Inventory","Location Profiles",false,71
"How do I set up a Threshold and Availability profile?","Configuration Profiles","https://www.site24x7.com/app/api/threshold_profiles","POST","Configuration Profiles","Threshold and Availability",true,77
"How do I set up a Threshold and Availability profile?","Configuration Profiles","https://www.site24x7.com/app/api/threshold_profiles/{id}","PUT","Configuration Profiles","Threshold and Availability",false,77
"How do I set up a Threshold and Availability profile?","Configuration Profiles","https://www.site24x7.com/app/api/threshold_profiles/{id}","GET","Configuration Profiles","Threshold and Availability",false,74
"How do I set up a Threshold and Availability profile?","Configuration Profiles","/app/api/short/threshold_profiles","GET","Inventory","Threshold Profiles",false,69
"How do I set up a Threshold and Availability profile?","Configuration Profiles","/app/api/short/threshold_profiles/{monitor_type}","GET","Inventory","Threshold Profiles",false,69
"How do I set up a Threshold and Availability profile?","Configuration Profiles","/app/api/setting_profile/{id}","PUT","Server Monitor","Setting Profile – CRUD",false,69
"What endpoint creates a Notification Profile?","Configuration Profiles","https://www.site24x7.com/app/api/notification_profiles","GET","Configuration Profiles","Notification Profile",true,80
"What endpoint creates a Notification Profile?","Configuration Profiles","https://www.site24x7.com/app/api/notification_profiles/{id}","PUT","Configuration Profiles","Notification Profile",false,76
"What endpoint creates a Notification Profile?","Configuration Profiles","https://www.site24x7.com/app/api/notification_profiles/{id}","DELETE","Configuration Profiles","Notification Profile",false,66
"What endpoint creates a Notification Profile?","Configuration Profiles","/app/api/short/notification_profiles","GET","Inventory","Notification Profiles",false,58
"What endpoint creates a Notification Profile?","Configuration Profiles","/app/api/short/notification_profiles","GET","Server Monitor","Notification Profiles",false,58
"List all Business Hours profiles","Configuration Profiles","https://www.site24x7.com/app/api/business_hours","GET","Configuration Profiles","Business Hours",true,80
"List all Business Hours profiles","Configuration Profiles","https://www.site24x7.com/app/api/business_hours/{id}","PUT","Configuration Profiles","Business Hours",false,77
"List all Business Hours profiles","Configuration Profiles","https://www.site24x7.com/app/api/business_hours/{id}","DELETE","Configuration Profiles","Business Hours",false,67
"List all Business Hours profiles","Configuration Profiles","https://www.site24x7.com/app/api/short/apminsight/business_txn_config_profiles","GET","Configuration Profiles","APM Business Transaction Configuration",false,63
"List all Business Hours profiles","Configuration Profiles","https://www.site24x7.com/app/api/notification_profiles","GET","Configuration Profiles","Notification Profile",false,62
"How do I create an Email Template?","Configuration Profiles","https://www.site24x7.com/app/api/email_templates","POST","Configuration Profiles","Email Templates",true,65
"How do I create an Email Template?","Configuration Profiles","https://www.site24x7.com/app/api/email_templates/{id}","DELETE","Configuration Profiles","Email Templates",false,58
"How do I create an Email Template?","Configuration Profiles","https://www.site24x7.com/app/api/email_templates/{id}","PUT","Configuration Profiles","Email Templates",false,58
"Which API configures an OAuth Provider?","Configuration Profiles","https://www.site24x7.com/app/api/oauth2_providers","GET","Configuration Profiles","OAuth Providers",true,85
"Which API configures an OAuth Provider?","Configuration Profiles","https://www.site24x7.com/app/api/oauth2_providers/{id}","DELETE","Configuration Profiles","OAuth Providers",false,71
"Which API configures an OAuth Provider?","Configuration Profiles","/app/api/oauth2_providers","GET","Third-Party Integrations","OAuth2 Providers",false,71
"Which API configures an OAuth Provider?","Configuration Profiles","/app/api/short/oauth2_providers","GET","Third-Party Integrations","OAuth2 Providers Short",false,71
"How do I generate a Web Token?","Configuration Profiles","https://www.site24x7.com/app/api/test_jwt","POST","Configuration Profiles","Web Tokens",true,39
"How do I generate a Web Token?","Configuration Profiles","https://www.site24x7.com/app/api/jwt/{id}","GET","Configuration Profiles","Web Tokens",false,34
"How do I generate a Web Token?","Configuration Profiles","https://www.site24x7.com/app/api/preferences/table/8","GET","Configuration Profiles","Web Tokens",false,34
"How do I generate a Web Token?","Configuration Profiles","https://www.site24x7.com/app/api/short/jwt","GET","Configuration Profiles","Web Tokens",false,34
"How do I generate a Web Token?","Configuration Profiles","/app/api/webclient_language","PUT","My Account","Web Client Notification Settings",false,34
"How do I generate a Web Token?","Configuration Profiles","/app/api/webclient_language","PUT","My Account","Web Client Notification Settings",false,34
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/default_agent_config_profile/JAVA","GET","Configuration Profiles","APM Agent Configuration",true,124
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/agent_config_profile","POST","Configuration Profiles","APM Agent Configuration",false,120
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/default_agent_config_profile/PYTHON","GET","Configuration Profiles","APM Agent Configuration",false,118
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/agent_config_profile/{id}","PUT","Configuration Profiles","APM Agent Configuration",false,114
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/short/apminsight/agent_config_profiles","GET","Configuration Profiles","APM Agent Configuration",false,110
"What endpoint creates an APM Agent Configuration profile?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/agent_config_profile/{id}","DELETE","Configuration Profiles","APM Agent Configuration",false,104
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/short/apminsight/business_txn_rules","GET","Configuration Profiles","APM Business Transaction Rules",true,104
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/business_txn_rules","POST","Configuration Profiles","APM Business Transaction Rules",false,92
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/business_txn_rules/{id}","DELETE","Configuration Profiles","APM Business Transaction Rules",false,92
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/business_txn_rules/{id}","GET","Configuration Profiles","APM Business Transaction Rules",false,92
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/business_txn_rules/{id}","PUT","Configuration Profiles","APM Business Transaction Rules",false,92
"How do I set up APM Business Transaction Rules?","Configuration Profiles","https://www.site24x7.com/app/api/apminsight/business_txn_config_profile/{id}","PUT","Configuration Profiles","APM Business Transaction Configuration",false,82
"Which API stores Credential Profiles?","Configuration Profiles","/app/api/credential_profiles","GET","Third-Party Integrations","Credential Profiles",true,71
"Which API stores Credential Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/credential_profiles","GET","Configuration Profiles","Credential Profile",false,69
"Which API stores Credential Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/credential_profile","POST","Configuration Profiles","Credential Profile",false,63
"Which API stores Credential Profiles?","Configuration Profiles","/app/api/short/location_profiles","GET","Inventory","Location Profiles",false,54
"Which API stores Credential Profiles?","Configuration Profiles","/app/api/short/location_profiles/{monitor_type}","GET","Inventory","Location Profiles",false,48
"How do I configure a Metric Profile?","Configuration Profiles","https://www.site24x7.com/app/api/metric_profiles","POST","Configuration Profiles","Metric Profile",true,71
"How do I configure a Metric Profile?","Configuration Profiles","https://www.site24x7.com/app/api/metric_profiles/{id}","PUT","Configuration Profiles","Metric Profile",false,71
"How do I configure a Metric Profile?","Configuration Profiles","https://www.site24x7.com/app/api/metric_profiles/{id}","GET","Configuration Profiles","Metric Profile",false,66
"How do I configure a Metric Profile?","Configuration Profiles","https://www.site24x7.com/app/api/short/metric_profiles","GET","Configuration Profiles","Metric Profile",false,66
"How do I configure a Metric Profile?","Configuration Profiles","/app/api/short/metric_profiles","GET","Inventory","Metric Profiles",false,65
"How do I configure a Metric Profile?","Configuration Profiles","/app/api/short/metric_profiles/{monitor_type}","GET","Inventory","Metric Profiles",false,58
"What endpoint manages Mobile Application Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/mobilerbm/getAppBundleData","GET","Configuration Profiles","Mobile Application Profile",true,55
"What endpoint manages Mobile Application Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/mobilerbm/delete_app/{id}","DELETE","Configuration Profiles","Mobile Application Profile",false,49
"What endpoint manages Mobile Application Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/mobilerbm/update_app_version","PUT","Configuration Profiles","Mobile Application Profile",false,49
"What endpoint manages Mobile Application Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/preferences/table/15","GET","Configuration Profiles","Mobile Application Profile",false,43
"What endpoint manages Mobile Application Profiles?","Configuration Profiles","/app/api/applog/log_profiles","GET","Inventory","App Log Profiles",false,36
"How do I enable Anomaly Settings?","Configuration Profiles","https://www.site24x7.com/app/api/anomaly_settings/{id}","PUT","Configuration Profiles","Anomaly Settings",true,70
"How do I enable Anomaly Settings?","Configuration Profiles","https://www.site24x7.com/app/api/anomaly_settings","GET","Configuration Profiles","Anomaly Settings",false,65
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/upgrade_profiles/all","GET","Configuration Profiles","Auto Upgrade Profile",true,86
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","/app/api/upgrade_profiles/FULLSTACK_AGENT","GET","Server Monitor","Upgrade Profiles",false,71
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/short/server/upgrade_profile_types","GET","Configuration Profiles","Auto Upgrade Profile",false,68
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/upgrade_profile","POST","Configuration Profiles","Auto Upgrade Profile",false,68
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/upgrade_profile/{id}","DELETE","Configuration Profiles","Auto Upgrade Profile",false,68
"Which API handles Auto Upgrade Profiles?","Configuration Profiles","https://www.site24x7.com/app/api/upgrade_profile/{id}","GET","Configuration Profiles","Auto Upgrade Profile",false,68
"How do I create a Custom Report?","Configuration Profiles","/app/api/customize_report","DELETE","Report Settings","Customize Report",true,66
"How do I create a Custom Report?","Configuration Profiles","/app/api/short/reports/custom_reports","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,64
"How do I create a Custom Report?","Configuration Profiles","https://www.site24x7.com/app/api/reports/custom_reports/preview","POST","Configuration Profiles","Custom Report",false,63
"How do I create a new IT Automation?","Automations","/app/api/current_status/type/SCHEDULE_IT_AUTOMATION","GET","Automations","IT Automation – CRUD",true,37
"How do I create a new IT Automation?","Automations","/app/api/it_automation/1/{id}","GET","Automations","IT Automation – CRUD",false,37
"How do I create a new IT Automation?","Automations","/app/api/it_automation/2/{id}","GET","Automations","IT Automation – CRUD",false,37
"How do I create a new IT Automation?","Automations","/app/api/it_automation/{id}","DELETE","Automations","IT Automation – CRUD",false,37
"How do I create a new IT Automation?","Automations","/app/api/it_automation/{id}","PUT","Automations","IT Automation – CRUD",false,37
"How do I create a new IT Automation?","Automations","/app/api/it_automation_types","GET","Automations","IT Automation – CRUD",false,37
"List all configured IT Automations","Automations","/app/api/it_automation/list","GET","Automations","IT Automation – List",true,45
"List all configured IT Automations","Automations","/app/api/circuits/list","GET","Automations","Circuits Integration",false,35
"What API retrieves IT Automation execution logs?","Automations","/app/api/it_automation/logs/{id}","GET","Automations","IT Automation – Logs",true,86
"What API retrieves IT Automation execution logs?","Automations","/app/api/it_automation/1/{id}","GET","Automations","IT Automation – CRUD",false,57
"What API retrieves IT Automation execution logs?","Automations","/app/api/it_automation/2/{id}","GET","Automations","IT Automation – CRUD",false,57
"What API retrieves IT Automation execution logs?","Automations","/app/api/it_automation_types","GET","Automations","IT Automation – CRUD",false,57
"What API retrieves IT Automation execution logs?","Automations","/app/api/it_automation/settings","GET","Automations","IT Automation – Settings",false,57
"How do I check Circuits integration status?","Automations","/app/api/circuits/integration_status","GET","Automations","Circuits Integration",true,84
"How do I check Circuits integration status?","Automations","/app/api/integration/thirdparty_status/28","GET","Third-Party Integrations","BYOK Integration",false,63
"How do I check Circuits integration status?","Automations","/app/api/integration/thirdparty_status/35","GET","Third-Party Integrations","Zoho Key Service Integration",false,63
"How do I check Circuits integration status?","Automations","/app/api/integration/thirdparty_status/36","GET","Third-Party Integrations","Azure OpenAI Integration",false,63
"How do I check Circuits integration status?","Automations","/app/api/integration/thirdparty_status/41","GET","Third-Party Integrations","Azure Log Analytics Workspace Integration",false,63
"How do I check Circuits integration status?","Automations","/app/api/integration/snow_cmdb_status","GET","Third-Party Integrations","ServiceNow CMDB Status",false,57
"Which endpoint creates a new circuit monitor?","Automations","/app/api/circuits","POST","Automations","Circuits Integration",true,50
"Which endpoint creates a new circuit monitor?","Automations","/app/api/monitor_groups","GET","Server Monitor","Monitor Groups",false,44
"Which endpoint creates a new circuit monitor?","Automations","/app/api/monitors","POST","Inventory","Monitor Inventory",false,43
"Which endpoint creates a new circuit monitor?","Automations","/app/api/monitors","POST","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,38
"Which endpoint creates a new circuit monitor?","Automations","/app/api/short/monitor_groups","GET","Server Monitor","Monitor Groups",false,37
"Which endpoint creates a new circuit monitor?","Automations","/app/api/short/monitors_resource_supported","GET","Server Monitor","Monitor Resource Support",false,37
"What API connects Automations to Qntrl?","Automations","/qntrl/_web/v2/site24x7_41343479/client_configurations","GET","Automations","Qntrl Integration",true,38
"What API connects Automations to Qntrl?","Automations","/app/api/client_data/demo","GET","Automations","Client / Session Data",false,30
"What API connects Automations to Qntrl?","Automations","/app/api/monitors/details_page/base/{id}","GET","Automations","Monitor Details",false,29
"What API connects Automations to Qntrl?","Automations","/app/api/client_data/user","GET","Automations","Client / Session Data",false,29
"What API connects Automations to Qntrl?","Automations","https://www.site24x7.com/app/api/client_data/user","GET","Configuration Profiles","General App Bootstrap (Not Section-Specific)",false,28
"What API connects Automations to Qntrl?","Automations","/app/api/integration/zia_azure","POST","Third-Party Integrations","Azure OpenAI Integration",false,25
"How do I list files available for automation scripts?","Automations","/app/api/it_automation/list","GET","Automations","IT Automation – List",true,66
"How do I list files available for automation scripts?","Automations","/app/api/file_list","GET","Automations","File Management",false,55
"How do I list files available for automation scripts?","Automations","https://www.site24x7.com/app/api/notification_profiles","GET","Configuration Profiles","Notification Profile",false,48
"How do I list files available for automation scripts?","Automations","https://www.site24x7.com/app/api/plugin/list_threshold_profiles/PLUGIN","GET","Configuration Profiles","Threshold and Availability",false,47
